recipeNumber	stepNumber	stepTitle	stepDescription
219	1	Step 1	Place noodles in a heatproof bowl. Pour over boiling water. Set aside for 5 minutes to soak. Drain well.
219	2	Step 2	Heat peanut oil in a wok over high heat. Add duck and ginger; stir-fry for 2-3 minutes or until heated through. Add green onions, hoi sin sauce and plum sauce and stir-fry for 1 minute or combined. Add noodles and stir-fry for 1 minute or until well combined. Remove from heat. Add cucumber and coriander and toss to combine.
219	3	Step 3	Serve pad Thai sprinkled with peanuts; serve immediately with lime wedges.
220	1	Step 1	For the dressing, blend all the ingredients in a blender on high speed for 20 seconds or until smooth. Place 60ml (1⁄4 cup) of the dressing in a bowl and reserve at room temperature. Place the remaining dressing in an airtight container in the fridge.
220	2	Step 2	Preheat a barbecue grill on medium-high. Brush steaks with 1 tsp oil. Season well. Cook for 5-6 minutes each side for medium or until cooked to your liking, brushing with reserved dressing in last 2 minutes of cooking. Transfer to a board. Set aside for 5-10 minutes to rest.
220	3	Step 3	Meanwhile, cook noodles in a saucepan of salted boiling water for 3-4 minutes or until al dente. Drain. Rinse under cold water. Drain well. Transfer to a bowl. Stir in remaining oil and 125ml (1⁄2 cup) chilled dressing. Add shallot, carrot, snow pea and coriander. Toss to coat.
220	4	Step 4	Slice steaks against the grain into 1cm-thick slices. Divide noodles among serving plates. Top with beef. Stir sesame seeds into the remaining chilled dressing and drizzle over the beef.
221	1	Step 1	Preheat oven to 180C/160C fan-forced. Grease a 6cm-deep, 11cm x 21cm loaf pan.
221	2	Step 2	Combine mince, onion, breadcrumbs, egg, garlic, zucchini, carrot, worcestershire sauce, tomato paste and parsley in a large bowl. Season with salt and pepper. Press mixture into the prepared pan. Smooth surface.
221	3	Step 3	Bake for 1 hour to 1 hour 10 minutes, or until meatloaf is firm. Stand for 5 minutes. Drain away excess pan juices. Carefully turn meatloaf, top-side up, onto a baking tray lined with baking paper. Brush top and sides with barbecue sauce. Bake for 15 minutes or until sauce is caramelised. Stand for 5 minutes before slicing. Serve with beans and gravy (if using).
222	1	Step 1	Heat the oil in a frying pan over low heat. Add the onion and thyme. Season. Cook, stirring occasionally, for 20 minutes or until golden, adding more oil if necessary. Transfer to a bowl. Set aside and keep warm.
222	2	Step 2	Meanwhile, preheat a barbecue flatplate on medium heat. Cook the sausages, turning frequently, for 10-12 minutes or until charred and cooked through. Transfer to a plate and set aside to rest.
222	3	Step 3	Toast the baguette on the barbecue until warm. Spread with mustard. Fill with the tomato slices, sausages and onion. Serve with tomato sauce, if using.
223	1	Step 1	Place the onion, garlic, ginger, chilli, rum, sugar, lime juice, chilli flakes, allspice, cinnamon, thyme and nutmeg in the bowl of a food processor and process until finely chopped.
223	2	Step 2	Use a large sharp knife to cut 1cm-deep, 4cm long slashes in the thigh, breast and drumsticks. Place in a large glass or ceramic dish. Pour over the onion mixture and rub into the chicken. Cover with plastic wrap and place in the fridge for 4 hours or overnight to marinate.
223	3	Step 3	Preheat a barbecue flatplate on medium-low. Drain chicken from marinade, reserving marinade. Add chicken to barbecue and cook for 5 minutes each side or until golden brown. Transfer to a roasting pan and pour over reserved marinade. Return chicken to the barbecue and cook, covered, for 30 minutes or until the juices run clear when the thighs are pierced with a skewer. Set aside for 5 minutes to rest.
223	4	Step 4	To make the mango and lime salsa, combine the mango, avocado, onion, coriander, mint and lime juice in a large bowl.
223	5	Step 5	Divide chicken among serving plates. Top with mango salsa. Serve with steamed rice and lime wedges.
224	1	Step 1	Preheat a barbecue with a lid, grill and flat plate on medium-high. Whisk the vinegar, mustard, garlic, lemon rind and 1 tablespoon lemon juice in a bowl. Gradually whisk in the oil. Season, then set aside.
224	2	Step 2	Lightly brush the lamb chops with the extra oil. Season with the salt and pepper. Place the lamb on the barbecue grill. Cook, covered with the barbecue lid, for 4 minutes or until well browned. Turn the chops over. Cook, covered, for 3 minutes for medium-rare or until cooked to your liking. Transfer the chops to a plate and set aside for 5 minutes to rest.
224	3	Step 3	Reduce the hot plate heat to medium and melt the butter on the hot plate until foaming. Add the asparagus, sugar snap peas and peas (use a baking tray if the barbecue rim isn’t high enough). Season with salt. Cook, turning the vegetables often with a metal egg lifter, for 4-5 minutes or until the vegetables are tender crisp.
224	4	Step 4	Transfer the vegetables to a large bowl. Add the chopped mint and 60ml (1⁄4 cup) vinaigrette. Toss to coat. Transfer to a platter. Top with the lamb. Sprinkle with the extra mint and serve with the remaining vinaigrette.
225	1	Step 1	Place lamb in a shallow ceramic dish. Sprinkle cracked pepper over both sides of lamb. Pour over 2 tablespoons oil. Turn lamb to coat. Cover. Refrigerate for 1 hour.
225	2	Step 2	Using a fork, pierce potatoes 4 times. Place on outer edge of microwave turntable. Microwave, uncovered, on HIGH (100%) for 4 minutes. Remove. Wrap in foil and stand for 10 minutes or until tender. Cut into 1cm-thick slices.
225	3	Step 3	Combine cucumber, mint and 1 tablespoon lime juice in a bowl. Season with pepper.
225	4	Step 4	Preheat a barbecue plate on medium-high. Drizzle remaining oil over potato. Season with salt and pepper. Barbecue for 4 to 5 minutes each side or until golden. Place lamb on barbecue. Cook for 2 to 3 minutes each side for medium or until cooked to your liking. Transfer to a plate. Cover with foil for 5 minutes.
225	5	Step 5	Make beetroot sauce: Process beetroot, sour cream, 1 tablespoon lime juice and garlic in a food processor until smooth. Transfer to a bowl.
225	6	Step 6	Arrange potato and lamb on plates. Serve with cucumber salad and sauce.
226	1	Step 1	Cut each chicken fillet in half through the centre to form 2 thinner fillets. Place into a ceramic dish. Pour over barbecue sauce. Turn to coat. Cover. Refrigerate for 30 minutes, if time permits. Heat barbecue plate and grill on medium-high heat.
226	2	Step 2	Meanwhile, wash potatoes. Place into a microwave-safe dish. Cover. Microwave on HIGH (100%) power for 5 minutes. Drain well.
226	3	Step 3	Place corn onto a microwave-safe plate. Cover. Cook for 6 minutes or until tender. Drain. Slice corn into 3cm-thick pieces. Place corn, potatoes and zucchini into a large bowl. Add oil, garlic, parsley, and salt and pepper. Toss to coat.
226	4	Step 4	Cook potatoes, corn and zucchini on barbecue plate for 4 to 5 minutes, turning frequently, or until golden. Add tomatoes. Cook for 3 minutes or until warmed through.
226	5	Step 5	Cook chicken on grill plate for 2 minutes each side or until just cooked through. Serve chicken with barbecued vegetables.
227	1	Step 1	Preheat oven to 200C. Lightly grease 2 baking trays. Line with baking paper.
227	2	Step 2	Heat 2 teaspoons olive oil in a small frying pan on high. Brown 200g beef mince well for 4-5 mins, breaking up lumps with the back of a spoon as it cooks.
227	3	Step 3	Place 4 x 15cm pizza bases on prepared trays. Spread 1/2 cup barbecue sauce evenly between pizza bases. Season to taste.
227	4	Step 4	Sprinkle 1 cup grated mozzarella cheese over bases. Top evenly with 1 sliced stick cabanossi and beef. Top with 1 chopped tomato, 1 sliced onion and sprinkle with 1 more cup of grated mozzarella.
227	5	Step 5	Bake for 12-15 mins until cheese melts and is lightly browned. Sprinkle with parsley. Cut into wedges and serve.
228	1	Step 1	Combine the green shallot, soy sauce, sugar, honey, garlic and five spice in a large glass or ceramic dish. Add the pork fillets and turn to coat. Cover with plastic wrap and place in the fridge for 2 hours to develop the flavours.
228	2	Step 2	Preheat oven to 180°C. Line a baking tray with non-stick baking paper. Place pork on the prepared tray. Cook in preheated oven, basting occasionally, for 20 minutes or until golden brown and just cooked through. Remove from oven. Cover with foil and set aside for 5 minutes to rest.
228	3	Step 3	Place the sesame seeds in a small frying pan over medium heat. Cook, stirring, for 2 minutes or until toasted. Remove from heat and set aside.
228	4	Step 4	Cook the noodles in a large saucepan of salted boiling water for 5 minutes or until tender. Add the choy sum and cook for 30 seconds or until bright green and tender crisp. Drain well. Place in a large heatproof bowl. Add the capsicum, oyster sauce, sesame seeds and oil and gently toss to combine.
228	5	Step 5	Thinly slice the pork across the grain. Add to the noodle mixture with the coriander leaves and toss to combine. Divide among serving bowls. Drizzle with extra oyster sauce and serve immediately with soy sauce, if desired.
229	1	Step 1	Combine the shallots, soy sauce, sugar, honey, garlic and five spice in a large glass or ceramic dish. Add the pork fillets and turn to coat. Cover and refrigerate for 2 hours to marinate.
229	2	Step 2	Preheat oven to 180°C. Line a baking tray with non-stick baking paper. Place pork on the prepared tray. Cook in oven, basting occasionally, for 20 minutes or until golden brown and just cooked through. Remove from oven. Cover with foil and set aside for 5 minutes to rest.
229	3	Step 3	Place the sesame seeds in a small frying pan over medium heat. Cook, stirring, for 2 minutes or until toasted. Remove from heat and set aside.
229	4	Step 4	Cook the noodles in a large saucepan of salted boiling water for 5 minutes or until tender. Add the choy sum and cook for 30 seconds or until bright green and just tender. Drain well. Place in a large heatproof bowl. Add the capsicum, oyster sauce, sesame seeds and oil and gently toss to combine.
229	5	Step 5	Thinly slice the pork across the grain. Add to the noodle mixture with the coriander leaves and toss to combine. Divide among serving bowls. Drizzle with extra oyster sauce and serve immediately with soy sauce, if desired.
230	1	Step 1	Line a baking tray with baking paper. Combine the mince, egg, barbecue sauce, ginger and 15g (1/4 cup) of the breadcrumbs in a large bowl. Season. Roll 3-teaspoon portions of the mince mixture into balls. Roll in remaining breadcrumbs to coat. Place on prepared tray. Cover and place in the fridge for 30 minutes to rest.
230	2	Step 2	Add enough oil to a wok to reach a depth of 6cm. Heat to 180°C over medium-high heat (when oil is ready a cube of bread turns golden brown in 15 seconds). Cook the meatballs in 3 batches, turning occasionally, for 5 minutes or until crisp and golden. Transfer to a plate lined with paper towel.
